CELL_ID,C1QC,CD107a,CD11b,CD141,CD183,CD196,CD227,CD25,CD31,CD45,CD68,CollagenIV,EpCAM,Nestin,Perlecan,RORgammaT,SPP1,TFAM,VWF,aSMA,bCatenin1
1582,160.09300231933594,373.93701171875,45.797000885009766,27.216999053955078,1695.4520263671875,53.571998596191406,30.795000076293945,36.62900161743164,26.469999313354492,132.99200439453125,74.02400207519531,103.97599792480469,21.53499984741211,153.7729949951172,52.33300018310547,2100.001953125,198.49400329589844,206.33700561523438,96.1709976196289,147.2760009765625,206.72799682617188
1583,157.31900024414062,210.55599975585938,36.840999603271484,23.871999740600586,1617.593994140625,50.06800079345703,36.33100128173828,34.49800109863281,28.726999282836914,142.76600646972656,58.3120002746582,110.6449966430664,23.57699966430664,162.37399291992188,54.915000915527344,1500.9949951171875,210.6009979248047,220.11099243164062,95.13999938964844,190.35499572753906,211.4029998779297
1584,290.1940002441406,121.00499725341797,35.10300064086914,23.086000442504883,1536.280029296875,39.209999084472656,28.541000366210938,32.50299835205078,23.981000900268555,107.22899627685547,49.209999084472656,108.51300048828125,23.29800033569336,164.99600219726562,47.87699890136719,1209.7919921875,175.09100341796875,238.02099609375,90.68099975585938,235.91799926757812,163.58799743652344
1585,598.197998046875,111.9800033569336,39.76599884033203,21.851999282836914,2064.794921875,43.077999114990234,86.81300354003906,38.04999923706055,27.718000411987305,173.9320068359375,69.26200103759766,126.0199966430664,25.18400001525879,117.3740005493164,58.5099983215332,2218.988037109375,316.60198974609375,301.24200439453125,106.87899780273438,102.86100006103516,198.36900329589844
1586,47.696998596191406,56.645999908447266,40.742000579833984,21.30299949645996,179.05499267578125,27.145000457763672,20.61400032043457,21.9689998626709,18.648000717163086,49.91999816894531,39.58100128173828,59.78200149536133,15.569999694824219,20.55500030517578,45.569000244140625,345.73199462890625,70.41100311279297,68.11399841308594,52.316001892089844,64.1500015258789,86.80500030517578
1587,381.593994140625,268.0320129394531,39.1510009765625,22.95199966430664,1841.2330322265625,40.66600036621094,30.517000198364258,37.14400100708008,21.07900047302246,160.76800537109375,54.69300079345703,109.8290023803711,16.92799949645996,149.70199584960938,51.54399871826172,1098.52099609375,214.56399536132812,294.6029968261719,75.23200225830078,167.4720001220703,140.23899841308594
1588,59.2400016784668,105.84100341796875,48.75,28.12299919128418,359.93798828125,101.73999786376953,30.132999420166016,25.58099937438965,54.06800079345703,61.2400016784668,50.03200149536133,278.5190124511719,26.56800079345703,61.07500076293945,62.64899826049805,547.7860107421875,119.25,87.30500030517578,43.25299835205078,110.35099792480469,94.87699890136719
1589,215.22999572753906,288.8429870605469,46.790000915527344,22.726999282836914,1672.4530029296875,56.349998474121094,45.84199905395508,33.55099868774414,22.599000930786133,189.58599853515625,59.388999938964844,120.93699645996094,19.177000045776367,207.66299438476562,47.729000091552734,2566.135986328125,227.2449951171875,427.6369934082031,85.54900360107422,146.2169952392578,208.13400268554688
1590,107.08200073242188,89.76799774169922,46.55400085449219,22.131999969482422,394.22100830078125,27.76799964904785,25.881000518798828,25.95400047302246,21.05699920654297,156.45899963378906,46.090999603271484,270.53900146484375,19.62299919128418,45.07699966430664,44.69499969482422,406.18499755859375,114.68399810791016,92.1240005493164,47.33599853515625,91.70899963378906,60.58300018310547
1591,419.5719909667969,161.43899536132812,37.06700134277344,31.149999618530273,1784.0999755859375,41.18299865722656,23.172000885009766,43.077999114990234,18.827999114990234,146.74400329589844,47.10599899291992,109.0999984741211,29.5,295.7669982910156,45.24399948120117,963.1060180664062,205.73899841308594,137.9720001220703,87.95600128173828,172.2220001220703,101.28299713134766
1592,469.36199951171875,123.0780029296875,41.130001068115234,26.91900062561035,2078.2490234375,54.17300033569336,34.84400177001953,29.490999221801758,27.198999404907227,182.4219970703125,61.80400085449219,116.94000244140625,21.12700080871582,179.6300048828125,52.19300079345703,2655.14501953125,240.28900146484375,350.70001220703125,101.56900024414062,131.0399932861328,189.1529998779297
1593,115.0770034790039,92.9800033569336,38.27399826049805,32.176998138427734,467.8590087890625,63.987998962402344,32.15299987792969,30.378999710083008,32.9640007019043,70.48799896240234,58.887001037597656,231.57699584960938,21.069000244140625,92.98799896240234,64.31900024414062,644.5079956054688,127.62100219726562,107.75399780273438,51.507999420166016,74.1050033569336,72.25399780273438
1594,284.1419982910156,274.4309997558594,39.262001037597656,19.881999969482422,1315.7230224609375,51.45899963378906,33.69300079345703,33.29399871826172,27.483999252319336,140.01499938964844,65.6719970703125,168.3040008544922,22.024999618530273,127.76300048828125,69.6510009765625,1718.7249755859375,211.9029998779297,280.9809875488281,72.61100006103516,110.9469985961914,261.1669921875
1595,62.446998596191406,95.6709976196289,31.746999740600586,19.608999252319336,251.68299865722656,29.986000061035156,25.243000030517578,22.024999618530273,24.354000091552734,48.32099914550781,36.03499984741211,188.8699951171875,22.10700035095215,38.382999420166016,54.422000885009766,431.656005859375,96.53700256347656,88.38300323486328,39.03499984741211,174.5449981689453,63.641998291015625
1596,94.79299926757812,111.27100372314453,42.17499923706055,26.42799949645996,437.79901123046875,25.947999954223633,30.281999588012695,29.014999389648438,32.689998626708984,112.80999755859375,51.79899978637695,143.6999969482422,23.499000549316406,64.92400360107422,45.91699981689453,766.9940185546875,115.68900299072266,113.04499816894531,37.04399871826172,440.135009765625,70.38400268554688
1597,115.50399780273438,371.38800048828125,34.553001403808594,25.176000595092773,1084.2760009765625,33.80799865722656,180.53399658203125,31.246999740600586,23.25200080871582,124.90499877929688,46.99700164794922,167.84800720214844,23.465999603271484,56.986000061035156,56.43600082397461,1257.9730224609375,210.1060028076172,298.5150146484375,64.77999877929688,141.24899291992188,331.1629943847656
1598,85.96600341796875,124.8280029296875,40.28900146484375,21.065000534057617,1180.470947265625,66.03600311279297,644.1740112304688,24.025999069213867,21.238000869750977,174.64599609375,58.654998779296875,137.97999572753906,31.583999633789062,24.900999069213867,41.44599914550781,1983.0040283203125,200.28700256347656,389.68499755859375,115.01599884033203,118.2040023803711,533.4769897460938
1599,265.2770080566406,150.3730010986328,44.349998474121094,29.562999725341797,1430.9200439453125,35.26100158691406,24.30699920654297,40.3390007019043,27.892000198364258,110.78700256347656,63.4119987487793,79.08200073242188,20.882999420166016,137.70899963378906,62.19499969482422,1275.2220458984375,230.98899841308594,176.12399291992188,99.0979995727539,255.28599548339844,145.42999267578125
